batsman,bowler,wicket
SC Ganguly,SK Trivedi,2
DB Das,Sohail Tanvir,2
WP Saha,SR Watson,2
Umar Gul,Sohail Tanvir,2
RV Uthappa,Yuvraj Singh,2
JH Kallis,MS Gony,2
V Kohli,M Muralitharan,2
S Badrinath,A Kumble,2
JA Morkel,DW Steyn,2
AC Gilchrist,RR Powar,2
GC Smith,SK Raina,2
YK Pathan,JA Morkel,2
PA Patel,SK Warne,2
JA Morkel,Sohail Tanvir,2
V Kohli,RP Singh,2
MV Boucher,RP Singh,2
R Dravid,SB Styris,2
HH Gibbs,P Kumar,2
KC Sangakkara,Umar Gul,2
DPMD Jayawardene,AB Dinda,2
DB Das,S Sreesanth,2
DJ Hussey,PP Chawla,2
LR Shukla,VRV Singh,2
WP Saha,PP Chawla,2
SR Watson,RR Raje,2
GC Smith,MF Maharoof,2
M Kaif,A Mishra,2
SR Watson,A Mishra,2
S Dhawan,SR Watson,2
MK Tiwary,MM Patel,2
TM Dilshan,SK Warne,2
SK Raina,SR Watson,2
SA Asnodkar,JA Morkel,2
M Kaif,M Muralitharan,2
DJ Bravo,Joginder Sharma,2
MS Dhoni,SL Malinga,2
RV Uthappa,AD Mascarenhas,2
SA Asnodkar,P Kumar,2
GC Smith,P Kumar,2
SK Warne,A Kumble,2
AM Rahane,P Kumar,2
MS Dhoni,RA Jadeja,2
KD Karthik,Imran Tahir,2
AC Gilchrist,AB Dinda,2
VVS Laxman,AB Dinda,2
SK Raina,KP Pietersen,2
JH Kallis,JA Morkel,2
IK Pathan,SC Ganguly,2
G Gambhir,L Balaji,2
V Sehwag,MS Gony,2
TM Dilshan,JA Morkel,2
KD Karthik,L Balaji,2
ML Hayden,PJ Sangwan,2
SK Raina,PJ Sangwan,2
S Badrinath,DL Vettori,2
RA Jadeja,I Sharma,2
CH Gayle,Kamran Khan,2
KC Sangakkara,A Kumble,2
AC Gilchrist,DJ Bravo,2
DR Smith,ST Jayasuriya,2
ST Jayasuriya,RP Singh,2
S Dhawan,PP Ojha,2
RV Uthappa,A Nehra,2
MV Boucher,PJ Sangwan,2
RS Bopara,Kamran Khan,2
Yuvraj Singh,MM Patel,2
DPMD Jayawardene,MM Patel,2
DA Warner,Kuldeep Yadav,2
DR Smith,M Muralitharan,2
CH Gayle,DJ Bravo,2
LR Shukla,Z Khan,2
AB Dinda,SL Malinga,2
TM Dilshan,MM Patel,2
AB de Villiers,SK Warne,2
RJ Quiney,A Nehra,2
PC Valthaty,A Mishra,2
SC Ganguly,P Kumar,2
JH Kallis,I Sharma,2
RS Bopara,DJ Bravo,2
Yuvraj Singh,JP Duminy,2
PP Chawla,SL Malinga,2
KC Sangakkara,DJ Bravo,2
AM Nayar,IK Pathan,2
AC Gilchrist,DP Nannes,2
TL Suman,PJ Sangwan,2
Y Venugopal Rao,A Nehra,2
KD Karthik,PP Ojha,2
ML Hayden,YK Pathan,2
SK Raina,MM Patel,2
RA Jadeja,L Balaji,2
SC Ganguly,Z Khan,2
BJ Hodge,SL Malinga,2
JD Ryder,IK Pathan,2
DPMD Jayawardene,RE van der Merwe,2
IK Pathan,P Kumar,2
M Vijay,A Nehra,2
SK Raina,R Bhatia,2
MS Dhoni,DP Nannes,2
KD Karthik,SB Jakati,2
ST Jayasuriya,RE van der Merwe,2
DR Smith,SB Jakati,2
PP Ojha,SK Raina,2
NV Ojha,PP Chawla,2
RA Jadeja,IK Pathan,2
JH Kallis,MM Patel,2
JP Duminy,DP Nannes,2
SR Tendulkar,PJ Sangwan,2
AM Nayar,A Nehra,2
DA Warner,JP Duminy,2
TM Dilshan,SL Malinga,2
AC Gilchrist,S Sreesanth,2
HH Gibbs,PP Chawla,2
NV Ojha,JA Morkel,2
YK Pathan,SB Jakati,2
M Vijay,SK Trivedi,2
SK Raina,A Singh,2
LRPL Taylor,SL Malinga,2
BJ Hodge,A Nehra,2
WP Saha,A Mishra,2
SC Ganguly,DP Nannes,2
G Gambhir,MC Henriques,2
AC Gilchrist,YK Pathan,2
RG Sharma,RA Jadeja,2
NV Ojha,PP Ojha,2
IK Pathan,DJ Bravo,2
K Goel,SL Malinga,2
ST Jayasuriya,B Lee,2
V Sehwag,WPUJC Vaas,2
M Vijay,JH Kallis,2
SK Raina,JH Kallis,2
MS Dhoni,RE van der Merwe,2
ML Hayden,A Kumble,2
JDP Oram,R Vinay Kumar,2
RV Uthappa,JA Morkel,2
B Akhil,JDP Oram,2
JP Duminy,SK Trivedi,2
AM Rahane,S Badree,2
RA Tripathi,P Negi,2
KM Jadhav,JD Unadkat,2
G Gambhir,IK Pathan,2
AB de Villiers,S Sreesanth,2
KD Karthik,IK Pathan,2
BJ Hodge,RJ Harris,2
AC Gilchrist,BJ Hodge,2
A Symonds,AB Agarkar,2
S Sohal,RP Singh,2
SM Katich,A Symonds,2
HH Gibbs,Yuvraj Singh,2
A Symonds,Yuvraj Singh,2
Y Venugopal Rao,Yuvraj Singh,2
DB Ravi Teja,B Lee,2
RG Sharma,IK Pathan,2
G Gambhir,MM Patel,2
YK Pathan,MF Maharoof,2
BB McCullum,SB Jakati,2
RA Jadeja,AB Agarkar,2
SC Ganguly,MM Patel,2
SK Raina,WA Mota,2
JDP Oram,IK Pathan,2
R Ashwin,IK Pathan,2
Yuvraj Singh,SK Raina,2
AM Rahane,PJ Sangwan,2
DA Warner,DS Kulkarni,2
G Gambhir,SL Malinga,2
V Sehwag,Harbhajan Singh,2
R Bhatia,Harbhajan Singh,2
SV Samson,UT Yadav,2
KK Nair,NM Coulter-Nile,2
AD Mathews,SP Narine,2
RR Pant,NM Coulter-Nile,2
R Dravid,PP Ojha,2
LRPL Taylor,PP Ojha,2
RG Sharma,A Kumble,2
DA Warner,RJ Harris,2
R Bhatia,RP Singh,2
TM Dilshan,RP Singh,2
AC Gilchrist,A Mishra,2
PA Patel,JH Kallis,2
R Dravid,M Muralitharan,2
A Symonds,A Kumble,2
MK Pandey,PP Ojha,2
R Dravid,Harmeet Singh,2
NV Ojha,AG Murtaza,2
AC Gilchrist,R Ashwin,2
NV Ojha,A Mishra,2
HM Amla,B Kumar,2
GJ Maxwell,B Kumar,2
SR Tendulkar,A Mishra,2
AB de Villiers,R Ashwin,2
BJ Hodge,YK Pathan,2
ST Jayasuriya,DW Steyn,2
AT Rayudu,R Vinay Kumar,2
DJ Bravo,R Vinay Kumar,2
RV Uthappa,Z Khan,2
V Sehwag,PP Ojha,2
M Manhas,R Sharma,2
IK Pathan,L Balaji,2
MS Bisla,JA Morkel,2
Yuvraj Singh,JA Morkel,2
ML Hayden,RR Powar,2
SK Raina,J Theron,2
DR Smith,YS Chahal,2
SC Ganguly,Harbhajan Singh,2
OA Shah,Z Khan,2
JH Kallis,L Balaji,2
GJ Bailey,R Vinay Kumar,2
S Badrinath,R Vinay Kumar,2
JA Morkel,R Vinay Kumar,2
NV Ojha,S Sreesanth,2
MS Bisla,SK Warne,2
Yuvraj Singh,SK Trivedi,2
DPMD Jayawardene,SK Trivedi,2
S Dhawan,SB Jakati,2
DA Warner,DW Steyn,2
V Sehwag,R Vinay Kumar,2
