bowler,batsman,runs
AD Russell,CH Gayle,50
CH Morris,V Kohli,50
CH Morris,AB de Villiers,50
SR Watson,AB de Villiers,50
KV Sharma,SR Watson,50
DS Kulkarni,AB de Villiers,50
KV Sharma,LMP Simmons,50
Z Khan,S Dhawan,49
TG Southee,V Kohli,49
YK Pathan,SR Tendulkar,49
VY Mahesh,SR Watson,49
P Kumar,SPD Smith,49
Kamran Khan,CH Gayle,49
SK Raina,DA Warner,49
JH Kallis,ST Jayasuriya,49
Harbhajan Singh,JH Kallis,49
DS Kulkarni,RG Sharma,49
PP Chawla,M Manhas,49
B Kumar,SV Samson,49
KA Pollard,S Badrinath,49
Iqbal Abdulla,KD Karthik,49
R Ashwin,CH Gayle,49
S Nadeem,AT Rayudu,49
DJ Bravo,SR Watson,49
RA Jadeja,YK Pathan,49
KA Pollard,DA Warner,49
KV Sharma,DR Smith,49
Harbhajan Singh,F du Plessis,49
PV Tambe,V Kohli,49
SR Watson,BCJ Cutting,48
A Nehra,SR Watson,48
RP Singh,SR Tendulkar,48
IK Pathan,SR Tendulkar,48
JA Morkel,R Dravid,48
L Balaji,YK Pathan,48
AR Patel,CJ Anderson,48
A Mishra,MC Henriques,48
A Mishra,NV Ojha,48
IK Pathan,MK Pandey,48
R Ashwin,DA Warner,48
Harbhajan Singh,DPMD Jayawardene,48
R Vinay Kumar,SR Watson,48
Bipul Sharma,SPD Smith,48
S Badree,SP Narine,48
RP Singh,S Dhawan,48
B Kumar,AB de Villiers,48
S Nadeem,SPD Smith,48
DJ Bravo,S Dhawan,48
S Nadeem,BB McCullum,48
JP Faulkner,MS Dhoni,48
Harbhajan Singh,STR Binny,48
YK Pathan,JA Morkel,47
HH Pandya,AB de Villiers,47
Harbhajan Singh,MS Dhoni,47
JA Morkel,AC Gilchrist,47
SL Malinga,CH Gayle,47
AD Mascarenhas,V Sehwag,47
JA Morkel,DA Warner,47
SK Trivedi,Yuvraj Singh,47
RA Jadeja,RV Uthappa,47
JH Kallis,MS Dhoni,47
Harbhajan Singh,YK Pathan,47
IK Pathan,KD Karthik,47
AB Agarkar,AC Gilchrist,47
UT Yadav,SV Samson,47
IK Pathan,DJ Hussey,47
UT Yadav,MK Pandey,47
A Mishra,MK Tiwary,47
RJ Harris,S Dhawan,47
SL Malinga,AM Rahane,47
NM Coulter-Nile,DA Warner,47
KV Sharma,G Gambhir,47
MG Johnson,G Gambhir,47
YS Chahal,JP Duminy,47
Z Khan,DR Smith,47
