bowler,batsman,runs 
Iqbal Abdulla,DJ Bravo,6
SK Raina,JH Kallis,6
V Pratap Singh,SC Ganguly,6
RJ Harris,MA Agarwal,6
Azhar Mahmood,V Kohli,6
S Kaul,CR Woakes,6
MM Patel,JD Ryder,6
A Ashish Reddy,F du Plessis,6
AD Mathews,BB McCullum,6
M de Lange,RV Uthappa,6
M de Lange,SPD Smith,6
RJ Harris,AM Rahane,6
SR Watson,Mandeep Singh,6
SR Watson,P Kumar,6
BW Hilfenhaus,SL Malinga,6
J Syed Mohammad,S Dhawan,6
J Botha,SC Ganguly,6
A Nehra,AL Menaria,6
PP Chawla,AA Jhunjhunwala,6
P Kumar,A Ashish Reddy,6
KH Pandya,SR Watson,6
A Choudhary,N Rana,6
Pankaj Singh,MEK Hussey,6
SW Tait,S Anirudha,6
Z Khan,AC Thomas,6
RE van der Merwe,MEK Hussey,6
A Mishra,Azhar Mahmood,6
DT Christian,Gurkeerat Singh,6
KP Appanna,AT Rayudu,6
BW Hilfenhaus,LR Shukla,6
P Negi,N Saini,6
Azhar Mahmood,V Sehwag,6
P Awana,LRPL Taylor,6
DT Christian,AJ Finch,6
BW Hilfenhaus,AC Gilchrist,6
Y Venugopal Rao,V Kohli,6
P Parameswaran,AD Russell,6
DW Steyn,OA Shah,6
SK Trivedi,PA Reddy,6
VR Aaron,Gurkeerat Singh,6
P Awana,UBT Chand,6
B Kumar,JH Kallis,6
A Nehra,Shakib Al Hasan,6
V Pratap Singh,R Vinay Kumar,6
DS Kulkarni,STR Binny,6
STR Binny,SR Tendulkar,6
P Negi,JH Kallis,6
Shakib Al Hasan,P Negi,6
JH Kallis,P Negi,6
DR Smith,S Badrinath,6
BW Hilfenhaus,LRPL Taylor,6
K Rabada,S Dhawan,6
Mohammed Siraj,CH Morris,6
L Balaji,MC Juneja,6
A Nehra,MS Bisla,6
AD Russell,EJG Morgan,6
MG Johnson,TM Dilshan,6
AB Dinda,GH Vihari,6
A Ashish Reddy,LRPL Taylor,6
R Shukla,AD Russell,6
Azhar Mahmood,RV Uthappa,6
Azhar Mahmood,B Kumar,6
M Kartik,A Ashish Reddy,6
Mohammed Shami,BJ Hodge,6
KA Pollard,MC Juneja,6
BA Stokes,C de Grandhomme,6
JD Unadkat,NM Coulter-Nile,6
C de Grandhomme,DT Christian,6
MC Henriques,JH Kallis,6
JH Kallis,MA Agarwal,6
PJ Sangwan,AB de Villiers,6
MR Marsh,AM Rahane,6
NLTC Perera,IK Pathan,6
UT Yadav,A Mishra,6
SL Malinga,MR Marsh,6
GH Vihari,G Gambhir,6
L Balaji,CL White,6
SMSM Senanayake,PA Patel,6
JP Faulkner,DJ Hussey,6
SMSM Senanayake,DA Miller,6
MS Gony,EJG Morgan,6
PJ Cummins,STR Binny,6
Iqbal Abdulla,SW Billings,6
R Rampaul,DA Warner,6
AB McDonald,DPMD Jayawardene,6
RP Singh,BJ Rohrer,6
AD Mathews,A Mishra,6
JP Faulkner,MG Johnson,6
V Sehwag,SK Raina,6
MS Gony,BB Samantray,6
RA Jadeja,SP Narine,6
JA Morkel,L Balaji,6
SMSM Senanayake,SK Raina,6
SW Tait,TM Dilshan,6
AD Russell,SR Tendulkar,6
P Negi,SE Marsh,6
A Choudhary,WP Saha,6
SR Watson,MM Sharma,6
VR Aaron,KM Jadhav,6
CH Gayle,AB Dinda,6
S Kaul,AC Gilchrist,6
M Morkel,DA Miller,6
PP Chawla,BJ Rohrer,6
P Kumar,CM Gautam,6
KA Pollard,DB Das,6
DJ Bravo,DJG Sammy,6
S Ladda,DA Miller,6
A Chandila,KV Sharma,6
NLTC Perera,STR Binny,6
KV Sharma,STR Binny,6
DR Smith,R Rampaul,6
MM Sharma,BB McCullum,6
MM Sharma,JH Kallis,6
KW Richardson,DPMD Jayawardene,6
Yuvraj Singh,KM Jadhav,6
A Nehra,LJ Wright,6
DS Kulkarni,PP Chawla,6
MG Johnson,PA Reddy,6
DR Smith,GH Vihari,6
Harbhajan Singh,GH Vihari,6
DS Kulkarni,GH Vihari,6
A Nehra,S Narwal,6
L Balaji,UBT Chand,6
BAW Mendis,AB de Villiers,6
CJ Anderson,LMP Simmons,6
Harbhajan Singh,Mohammed Shami,6
NLTC Perera,AB de Villiers,6
BJ Rohrer,R Dravid,6
DJ Bravo,DW Steyn,6
KK Cooper,DA Miller,6
WD Parnell,MS Bisla,6
B Kumar,MS Bisla,6
L Balaji,AJ Finch,6
S Kaul,MC Henriques,6
JD Unadkat,UBT Chand,6
M Kartik,BJ Rohrer,6
J Syed Mohammad,UBT Chand,6
JD Unadkat,M Morkel,6
CR Woakes,AB de Villiers,6
R Vinay Kumar,RN ten Doeschate,6
VS Malik,M Vijay,6
P Kumar,RE van der Merwe,6
DJ Hussey,MC Juneja,6
RE van der Merwe,DJ Hussey,6
DS Kulkarni,JP Faulkner,6
MG Neser,CA Pujara,6
R Rampaul,Mandeep Singh,6
M Kartik,Gurkeerat Singh,6
CH Gayle,DA Miller,6
STR Binny,BB Samantray,6
GJ Maxwell,SK Raina,6
NLTC Perera,BJ Hodge,6
VS Malik,AP Tare,6
JP Faulkner,Y Venugopal Rao,6
S Nadeem,Shakib Al Hasan,6
Mohammed Shami,Shakib Al Hasan,6
Mohammed Shami,F du Plessis,6
DJG Sammy,CA Pujara,6
MG Johnson,KV Sharma,6
MA Starc,MK Pandey,6
VR Aaron,CA Lynn,6
IC Pandey,RG Sharma,6
BW Hilfenhaus,CM Gautam,6
AS Rajpoot,R Tewatia,6
TG Southee,MA Starc,6
JH Kallis,R Dhawan,6
R Dhawan,CA Lynn,6
L Balaji,CA Lynn,6
SL Malinga,Q de Kock,6
JA Morkel,CA Pujara,6
AB Dinda,R Dhawan,6
VR Aaron,GJ Bailey,6
KW Richardson,G Gambhir,6
SL Malinga,KL Rahul,6
CJ Anderson,DA Warner,6
CJ Anderson,GJ Bailey,6
A Mishra,Ishan Kishan,6
DS Kulkarni,SV Samson,6
Basil Thampi,PJ Cummins,6
HV Patel,DJG Sammy,6
RN ten Doeschate,SV Samson,6
LR Shukla,BB McCullum,6
VR Aaron,CM Gautam,6
JJ Bumrah,HV Patel,6
LR Shukla,MK Pandey,6
IC Pandey,GJ Bailey,6
HV Patel,V Sehwag,6
Shivam Sharma,MA Starc,6
IK Pathan,LR Shukla,6
PV Tambe,VH Zol,6
MC Henriques,LMP Simmons,6
MM Sharma,R Bhatia,6
R Shukla,S Rana,6
AN Ahmed,JP Duminy,6
MG Johnson,NV Ojha,6
M Morkel,CJ Anderson,6
JP Duminy,KK Cooper,6
A Nehra,JJ Roy,6
Washington Sundar,RR Pant,6
DT Christian,MN Samuels,6
Z Khan,RA Tripathi,6
A Mishra,BA Stokes,6
Mohammed Shami,BA Stokes,6
JP Duminy,AR Patel,6
SK Raina,Shakib Al Hasan,6
K Santokie,M Vohra,6
P Kumar,AR Patel,6
P Kumar,R Dhawan,6
Parvez Rasool,DJ Hussey,6
Parvez Rasool,MS Dhoni,6
S Kaul,LMP Simmons,6
JJ Bumrah,M Vijay,6
S Gopal,KP Pietersen,6
M de Lange,JP Duminy,6
BE Hendricks,AM Rahane,6
Karanveer Singh,SV Samson,6
Karanveer Singh,R Tewatia,6
Mohammed Siraj,DR Smith,6
RA Jadeja,V Shankar,6
Karanveer Singh,MK Tiwary,6
Karanveer Singh,BB McCullum,6
Imran Tahir,RA Jadeja,6
Karanveer Singh,JP Faulkner,6
TA Boult,SS Tiwary,6
Kuldeep Yadav,HH Pandya,6
IC Pandey,RS Bopara,6
SP Narine,HV Patel,6
DJ Hooda,Yuvraj Singh,6
AD Mathews,SPD Smith,6
AD Mathews,CH Morris,6
Anureet Singh,AJ Finch,6
R Dhawan,J Suchith,6
B Kumar,VR Aaron,6
CJ Anderson,SPD Smith,6
CJ Anderson,AM Rahane,6
JP Duminy,GJ Bailey,6
MG Johnson,JP Duminy,6
TA Boult,SPD Smith,6
Sandeep Sharma,RA Tripathi,6
R Tewatia,RA Tripathi,6
Anureet Singh,MK Pandey,6
VR Aaron,PA Patel,6
D Wiese,KA Pollard,6
AD Russell,AD Mathews,6
AD Russell,MC Henriques,6
D Wiese,STR Binny,6
CJ Anderson,CH Gayle,6
B Kumar,J Suchith,6
J Suchith,NV Ojha,6
Anureet Singh,RA Jadeja,6
D Wiese,Yuvraj Singh,6
HV Patel,KM Jadhav,6
A Mishra,AD Russell,6
PV Tambe,Mandeep Singh,6
JP Faulkner,SN Khan,6
TG Southee,HV Patel,6
AD Mathews,AR Patel,6
Ankit Sharma,UBT Chand,6
MJ McClenaghan,DJ Hooda,6
P Negi,MC Henriques,6
DJ Bravo,GH Vihari,6
TA Boult,F du Plessis,6
NM Coulter-Nile,SR Watson,6
STR Binny,MA Agarwal,6
DS Kulkarni,NM Coulter-Nile,6
B Kumar,J Botha,6
BE Hendricks,YK Pathan,6
Anureet Singh,PP Chawla,6
YK Pathan,KS Williamson,6
SP Narine,V Shankar,6
TA Boult,V Shankar,6
B Kumar,CA Lynn,6
J Yadav,MC Henriques,6
J Yadav,EJG Morgan,6
A Mishra,KV Sharma,6
P Negi,KK Nair,6
A Nehra,JP Faulkner,6
Gurkeerat Singh,MC Henriques,6
I Sharma,AR Patel,6
GS Sandhu,DR Smith,6
JA Morkel,SK Raina,6
GS Sandhu,F du Plessis,6
GS Sandhu,MS Dhoni,6
GS Sandhu,DJ Bravo,6
SK Raina,SS Iyer,6
P Negi,Yuvraj Singh,6
MJ McClenaghan,Shakib Al Hasan,6
P Negi,R Dhawan,6
SK Raina,AR Patel,6
GJ Maxwell,F du Plessis,6
Shakib Al Hasan,SPD Smith,6
MG Johnson,NM Coulter-Nile,6
MJ McClenaghan,MEK Hussey,6
Ankit Sharma,Mandeep Singh,6
MM Sharma,SN Khan,6
HV Patel,MEK Hussey,6
MJ McClenaghan,DJ Bravo,6
C Munro,P Negi,6
PP Chawla,CR Brathwaite,6
GB Hogg,CH Morris,6
CR Brathwaite,G Gambhir,6
DJ Bravo,M Vijay,6
DJ Bravo,MP Stoinis,6
P Sahu,Ishan Kishan,6
AF Milne,DJ Hooda,6
A Zampa,KH Pandya,6
MR Marsh,BB McCullum,6
CR Brathwaite,AR Patel,6
P Sahu,P Negi,6
P Kumar,HH Pandya,6
SR Watson,SV Samson,6
BB Sran,KH Pandya,6
P Sahu,G Gambhir,6
P Sahu,RV Uthappa,6
CL White,DJ Hussey,6
SC Ganguly,MV Boucher,6
MC Henriques,BB McCullum,6
I Sharma,KL Rahul,6
KW Richardson,AM Rahane,6
T Shamsi,NLTC Perera,6
HH Pandya,SV Samson,6
Mustafizur Rahman,DA Miller,6
T Shamsi,BB McCullum,6
MR Marsh,AP Tare,6
JJ Bumrah,CR Woakes,6
S Kaushik,AM Rahane,6
PP Chawla,KK Nair,6
AD Russell,CR Brathwaite,6
Gurkeerat Singh,RA Jadeja,6
MP Stoinis,P Kumar,6
Sandeep Sharma,DS Kulkarni,6
AD Russell,KL Rahul,6
S Nadeem,RA Jadeja,6
Gurkeerat Singh,RV Uthappa,6
Shakib Al Hasan,Gurkeerat Singh,6
SM Boland,CR Brathwaite,6
CR Brathwaite,UT Khawaja,6
GD McGrath,T Kohli,6
R Bhatia,D Salunkhe,6
B Geeves,RA Jadeja,6
CJ Jordan,SS Tiwary,6
STR Binny,SS Tiwary,6
CH Morris,MP Stoinis,6
Z Khan,MP Stoinis,6
Mustafizur Rahman,MJ McClenaghan,6
MM Sharma,Sachin Baby,6
STR Binny,HM Amla,6
A Zampa,DJ Hooda,6
Mustafizur Rahman,NLTC Perera,6
VR Aaron,N Rana,6
Mustafizur Rahman,Q de Kock,6
Z Khan,ST Jayasuriya,6
B Akhil,AM Nayar,6
SM Pollock,R Dravid,6
ST Jayasuriya,R Dravid,6
Yuvraj Singh,HM Amla,6
DL Chahar,SS Iyer,6
DL Chahar,KK Nair,6
IK Pathan,SV Samson,6
AS Rajpoot,BB McCullum,6
CR Brathwaite,MC Henriques,6
SB Bangar,SC Ganguly,6
DJ Hooda,C Munro,6
Mustafizur Rahman,JO Holder,6
C Munro,S Dhawan,6
JO Holder,B Kumar,6
BCJ Cutting,SA Yadav,6
BCJ Cutting,BB McCullum,6
CJ Jordan,BCJ Cutting,6
B Lee,YK Pathan,6
SM Pollock,PA Patel,6
P Amarnath,RV Uthappa,6
M Muralitharan,MA Khote,6
MM Patel,AS Yadav,6
A Nehra,K Goel,6
DJ Bravo,K Goel,6
P Amarnath,AB Agarkar,6
PP Ojha,ST Jayasuriya,6
D Kalyankrishna,SM Pollock,6
SM Pollock,VVS Laxman,6
SD Chitnis,VVS Laxman,6
S Sreesanth,Shoaib Malik,6
VY Mahesh,SM Katich,6
P Amarnath,JH Kallis,6
JDP Oram,Z Khan,6
SM Pollock,DB Das,6
CRD Fernando,RT Ponting,6
CRD Fernando,M Kartik,6
Mohammad Hafeez,DJ Bravo,6
V Kohli,S Dhawan,6
P Kumar,Shoaib Malik,6
Gagandeep Singh,Shahid Afridi,6
VY Mahesh,JA Morkel,6
B Akhil,DB Ravi Teja,6
SB Bangar,JH Kallis,6
Imran Tahir,RR Pant,6
DJ Hussey,K Goel,6
IK Pathan,Mohammad Hafeez,6
VY Mahesh,RR Raje,6
DJ Bravo,Shoaib Malik,6
DJ Bravo,R Bhatia,6
SK Raina,SA Asnodkar,6
P Kumar,RR Sarwan,6
SB Bangar,SK Raina,6
Shahid Afridi,Joginder Sharma,6
Joginder Sharma,AC Gilchrist,6
DJ Bravo,SA Asnodkar,6
RR Raje,SK Warne,6
RR Raje,Sohail Tanvir,6
P Kumar,Umar Gul,6
RP Singh,M Kaif,6
A Nehra,SP Goswami,6
Rashid Khan,N Rana,6
A Nehra,N Rana,6
CK Kapugedera,RR Sarwan,6
M Muralitharan,RR Sarwan,6
V Kohli,LA Pomersbach,6
GD McGrath,Salman Butt,6
PJ Sangwan,A Chopra,6
MF Maharoof,Salman Butt,6
V Sehwag,Salman Butt,6
SC Ganguly,TM Dilshan,6
IK Pathan,Niraj Patel,6
RR Powar,Niraj Patel,6
PP Chawla,Niraj Patel,6
JR Hopes,D Salunkhe,6
A Nehra,Salman Butt,6
RR Raje,SC Ganguly,6
Rashid Khan,KM Jadhav,5
BA Stokes,HH Pandya,5
UT Yadav,AR Patel,5
SK Warne,A Kumble,5
DNT Zoysa,DJ Bravo,5
RP Singh,PR Shah,5
AM Nayar,Y Venugopal Rao,5
M Ntini,Mohammad Hafeez,5
Z Khan,MF Maharoof,5
Sohail Tanvir,LR Shukla,5
CRD Fernando,Yuvraj Singh,5
M Ntini,JH Kallis,5
M Ntini,V Kohli,5
M Ntini,B Akhil,5
S Sreesanth,Y Venugopal Rao,5
MF Maharoof,SM Pollock,5
A Nel,MK Tiwary,5
SM Pollock,MK Tiwary,5
KH Pandya,KM Jadhav,5
P Negi,KH Pandya,5
Shahid Afridi,V Kohli,5
P Kumar,VVS Laxman,5
DR Smith,RA Jadeja,5
CRD Fernando,RA Jadeja,5
A Nehra,Niraj Patel,5
L Balaji,SB Styris,5
DP Vijaykumar,PA Patel,5
Mohammad Asif,GC Smith,5
VY Mahesh,Sohail Tanvir,5
MM Patel,MK Tiwary,5
IK Pathan,S Vidyut,5
SR Watson,CK Kapugedera,5
A Flintoff,ST Jayasuriya,5
T Henderson,KP Pietersen,5
AJ Tye,MK Tiwary,5
RD Chahar,AJ Finch,5
SB Styris,A Chopra,5
PP Ojha,LR Shukla,5
SC Ganguly,GC Smith,5
MM Patel,BJ Hodge,5
RA Jadeja,Yashpal Singh,5
VRV Singh,JH Kallis,5
IK Pathan,LRPL Taylor,5
FH Edwards,JP Duminy,5
DR Smith,SR Tendulkar,5
KP Appanna,KD Karthik,5
VRV Singh,SK Warne,5
A Nehra,SP Narine,5
CR Woakes,MC Henriques,5
Y Venugopal Rao,ML Hayden,5
Shoaib Ahmed,MS Dhoni,5
Shoaib Ahmed,JA Morkel,5
RP Singh,JDP Oram,5
LR Shukla,ST Jayasuriya,5
LR Shukla,Harbhajan Singh,5
DJ Bravo,I Sharma,5
Z Khan,I Sharma,5
DL Vettori,GC Smith,5
A Kumble,MN van Wyk,5
BJ Hodge,KP Pietersen,5
M Kartik,V Kohli,5
SL Malinga,RS Bopara,5
SR Tendulkar,DPMD Jayawardene,5
Z Khan,RR Powar,5
DJ Bravo,RR Powar,5
Kamran Khan,S Badrinath,5
JDP Oram,AD Mascarenhas,5
SM Harwood,AC Gilchrist,5
MM Patel,TL Suman,5
SM Harwood,DR Smith,5
FH Edwards,YK Pathan,5
DR Smith,AS Raut,5
Sandeep Sharma,SW Billings,5
KC Cariappa,SS Iyer,5
GJ Maxwell,RR Pant,5
VR Aaron,CH Morris,5
VS Malik,SC Ganguly,5
CH Gayle,IK Pathan,5
D du Preez,DJ Bravo,5
A Kumble,DJ Bravo,5
DJ Bravo,W Jaffer,5
DR Smith,MS Dhoni,5
JA Morkel,VVS Laxman,5
K Goel,NV Ojha,5
SM Harwood,Yuvraj Singh,5
BJ Hodge,DA Warner,5
RJ Harris,ST Jayasuriya,5
LA Carseldine,RV Uthappa,5
D du Preez,YK Pathan,5
M Muralitharan,SM Katich,5
SK Raina,DPMD Jayawardene,5
DP Nannes,AM Nayar,5
JP Duminy,TM Dilshan,5
MM Patel,JC Buttler,5
Basil Thampi,RG Sharma,5
IK Pathan,Y Venugopal Rao,5
L Balaji,LA Carseldine,5
SK Trivedi,ML Hayden,5
SL Malinga,LRPL Taylor,5
DS Kulkarni,R Vinay Kumar,5
DJ Bravo,A Kumble,5
SS Sarkar,DA Warner,5
DJ Hussey,JH Kallis,5
DJ Hussey,JD Ryder,5
S Tyagi,RV Uthappa,5
S Tyagi,R Dravid,5
SL Malinga,SD Chitnis,5
J Botha,ST Jayasuriya,5
SN Thakur,AB de Villiers,5
BA Stokes,STR Binny,5
JD Unadkat,S Aravind,5
B Lee,G Gambhir,5
RR Powar,AB de Villiers,5
S Sreesanth,KD Karthik,5
RR Powar,KD Karthik,5
JA Morkel,DJ Bravo,5
M Kartik,TL Suman,5
Mashrafe Mortaza,Y Venugopal Rao,5
MF Maharoof,AS Raut,5
BAW Mendis,GJ Bailey,5
A Kumble,Y Nagar,5
SK Warne,SS Shaikh,5
S Sreesanth,JDP Oram,5
PP Chawla,JDP Oram,5
SK Raina,B Lee,5
RA Shaikh,G Gambhir,5
CR Woakes,KK Nair,5
M Muralitharan,MK Pandey,5
JDP Oram,V Kohli,5
RG Sharma,R Dravid,5
RP Singh,CA Pujara,5
SW Tait,R Sathish,5
SL Malinga,P Dogra,5
AG Murtaza,P Dogra,5
Z Khan,P Dogra,5
SL Malinga,AD Mascarenhas,5
TM Dilshan,M Kaif,5
A Mishra,PP Chawla,5
DP Nannes,S Sreesanth,5
RS Gavaskar,JH Kallis,5
M Muralitharan,A Symonds,5
RP Singh,L Balaji,5
MF Maharoof,AA Jhunjhunwala,5
SW Tait,M Manhas,5
Rashid Khan,EJG Morgan,5
L Balaji,SC Ganguly,5
S Ladda,SS Tiwary,5
A Kumble,MJ Lumb,5
RG Sharma,AB Barath,5
A Symonds,IK Pathan,5
WPUJC Vaas,PP Chawla,5
BJ Hodge,AC Voges,5
AD Mathews,AC Voges,5
P Kumar,AP Tare,5
JH Kallis,AP Tare,5
A Kumble,R Sathish,5
A Mishra,HH Gibbs,5
A Symonds,DA Warner,5
SK Raina,M Kaif,5
J Theron,JA Morkel,5
M Kartik,KA Pollard,5
R McLaren,SK Raina,5
Joginder Sharma,KA Pollard,5
SK Trivedi,HH Gibbs,5
AC Voges,RG Sharma,5
RG Sharma,MJ Lumb,5
RS Bopara,SC Ganguly,5
T Thushara,NV Ojha,5
SB Jakati,AC Voges,5
S Narwal,S Badrinath,5
RP Singh,AT Rayudu,5
RP Singh,R McLaren,5
Z Khan,MD Mishra,5
Harbhajan Singh,KAJ Roach,5
DP Nannes,CH Gayle,5
PP Chawla,JJ Roy,5
Z Khan,VS Malik,5
VS Malik,KA Pollard,5
SJ Srivastava,AT Rayudu,5
S Narwal,PD Collingwood,5
S Ladda,S Narwal,5
PD Collingwood,P Dogra,5
Harmeet Singh,CA Pujara,5
Jaskaran Singh,WP Saha,5
KAJ Roach,WP Saha,5
DW Steyn,KC Sangakkara,5
RG Sharma,S Dhawan,5
DJ Bravo,A Symonds,5
KA Pollard,A Symonds,5
KA Pollard,MD Mishra,5
KA Pollard,TL Suman,5
SJ Srivastava,AD Mathews,5
SJ Srivastava,DJ Hussey,5
M Kartik,MS Bisla,5
R Vinay Kumar,DA Warner,5
A Mithun,DA Warner,5
DL Vettori,A Mithun,5
Harmeet Singh,FY Fazal,5
DR Smith,SK Trivedi,5
Harbhajan Singh,HM Amla,5
T Thushara,Harbhajan Singh,5
MF Maharoof,CH Gayle,5
DL Vettori,AD Mathews,5
Iqbal Abdulla,MF Maharoof,5
Harmeet Singh,MK Pandey,5
L Ablish,SR Tendulkar,5
RG Sharma,MEK Hussey,5
Harmeet Singh,T Thushara,5
SK Raina,A Symonds,5
BAW Mendis,S Sriram,5
A Mishra,KC Sangakkara,5
PD Collingwood,DPMD Jayawardene,5
AP Dole,SR Tendulkar,5
AA Jhunjhunwala,JP Duminy,5
Harbhajan Singh,AA Jhunjhunwala,5
Harbhajan Singh,AP Dole,5
R Vinay Kumar,B Sumanth,5
NM Coulter-Nile,RA Jadeja,5
AB McDonald,SS Tiwary,5
KA Pollard,AB McDonald,5
AG Murtaza,AB McDonald,5
DE Bollinger,AD Mathews,5
Pankaj Singh,AA Jhunjhunwala,5
DW Steyn,AC Voges,5
A Nehra,DE Bollinger,5
VS Malik,AC Gilchrist,5
VS Malik,RG Sharma,5
KA Pollard,KP Pietersen,5
Z Khan,DW Steyn,5
JD Unadkat,P Dogra,5
LR Shukla,P Dogra,5
A Nehra,R Sharma,5
A Symonds,M Manhas,5
R Sharma,A Mishra,5
MR Marsh,A Nehra,5
SC Ganguly,JP Duminy,5
PJ Cummins,KH Pandya,5
K Rabada,KH Pandya,5
V Kohli,AT Rayudu,5
M Muralitharan,B Sumanth,5
KP Pietersen,Anirudh Singh,5
R Ashwin,AM Nayar,5
S Ladda,SK Raina,5
JH Kallis,SB Styris,5
S Randiv,LR Shukla,5
SK Trivedi,B Chipli,5
DW Steyn,LRPL Taylor,5
S Sreesanth,MA Agarwal,5
AG Murtaza,AJ Finch,5
SB Wagh,SE Marsh,5
WD Parnell,AM Nayar,5
JD Ryder,R McLaren,5
NJ Rimmington,M Manhas,5
AM Nayar,M Manhas,5
NJ Rimmington,Yuvraj Singh,5
DT Christian,MS Bisla,5
L Balaji,DW Steyn,5
BA Stokes,S Dhawan,5
Rashid Khan,MS Dhoni,5
Mohammed Siraj,MK Tiwary,5
SW Tait,AJ Finch,5
AB Dinda,AG Paunikar,5
S Nadeem,LRPL Taylor,5
M Muralitharan,JD Ryder,5
RP Singh,MD Mishra,5
DT Christian,SS Tiwary,5
Shakib Al Hasan,AG Paunikar,5
RV Gomez,DJ Jacobs,5
R Ninan,MEK Hussey,5
JJ van der Wath,S Badrinath,5
PC Valthaty,B Chipli,5
WD Parnell,V Sehwag,5
Yuvraj Singh,IK Pathan,5
SK Raina,HM Amla,5
AJ Tye,MP Stoinis,5
KC Cariappa,RA Jadeja,5
SK Warne,MK Tiwary,5
S Nadeem,S Sohal,5
JR Hopes,DT Christian,5
AC Thomas,SR Tendulkar,5
AC Thomas,AT Rayudu,5
WD Parnell,RG Sharma,5
Iqbal Abdulla,R Vinay Kumar,5
R Vinay Kumar,Iqbal Abdulla,5
SW Tait,PC Valthaty,5
SW Tait,SE Marsh,5
SR Watson,Sunny Singh,5
RJ Harris,AL Menaria,5
BA Bhatt,SK Warne,5
TM Dilshan,BJ Haddin,5
Iqbal Abdulla,CH Gayle,5
VR Aaron,AM Nayar,5
A Mishra,DJ Jacobs,5
R Sathish,B Chipli,5
RV Gomez,SR Watson,5
R Vinay Kumar,J Botha,5
Yuvraj Singh,MEK Hussey,5
AC Thomas,S Anirudha,5
A Mithun,JR Hopes,5
S Sreesanth,CL White,5
RP Singh,DB Ravi Teja,5
I Sharma,NLTC Perera,5
DT Christian,R Vinay Kumar,5
DW Steyn,R Vinay Kumar,5
IK Pathan,RN ten Doeschate,5
JR Hopes,RN ten Doeschate,5
Iqbal Abdulla,Y Venugopal Rao,5
L Balaji,M Morkel,5
AL Menaria,SR Tendulkar,5
A Singh,SR Tendulkar,5
AG Murtaza,SR Watson,5
AG Murtaza,J Botha,5
MM Patel,J Botha,5
MM Patel,AL Menaria,5
CH Gayle,JD Ryder,5
J Syed Mohammad,MK Pandey,5
MK Tiwary,KD Karthik,5
Iqbal Abdulla,DJ Hussey,5
P Kumar,JH Kallis,5
MG Johnson,RA Tripathi,5
MG Johnson,BA Stokes,5
MJ McClenaghan,BA Stokes,5
DT Christian,PA Patel,5
AL Menaria,MK Pandey,5
AL Menaria,JD Ryder,5
S Randiv,S Dhawan,5
SB Jakati,S Sohal,5
A Symonds,SE Marsh,5
KA Pollard,AM Nayar,5
SB Jakati,AL Menaria,5
S Randiv,J Botha,5
DE Bollinger,AM Rahane,5
AC Thomas,AC Blizzard,5
MM Patel,GC Smith,5
P Parameswaran,EJG Morgan,5
AM Salvi,KC Sangakkara,5
C de Grandhomme,AM Rahane,5
DE Bollinger,JH Kallis,5
SL Malinga,JR Hopes,5
DS Kulkarni,AB Agarkar,5
DL Vettori,RV Gomez,5
A Mithun,RR Powar,5
P Parameswaran,V Kohli,5
WD Parnell,PC Valthaty,5
SJ Srivastava,JD Ryder,5
DJ Bravo,J Botha,5
Yuvraj Singh,KC Sangakkara,5
Bipul Sharma,RG Sharma,5
CK Langeveldt,LRPL Taylor,5
CK Langeveldt,AL Menaria,5
R Ashwin,CA Ingram,5
DE Bollinger,JR Hopes,5
SJ Srivastava,RA Jadeja,5
RP Singh,AC Gilchrist,5
S Sreesanth,PC Valthaty,5
JP Faulkner,A Choudhary,5
JD Unadkat,LA Pomersbach,5
Iqbal Abdulla,M Kaif,5
I Sharma,AT Rayudu,5
P Parameswaran,SW Tait,5
JJ van der Wath,PC Valthaty,5
JH Kallis,CJ Ferguson,5
Shakib Al Hasan,CJ Ferguson,5
AA Chavan,AT Rayudu,5
J Botha,JEC Franklin,5
BA Bhatt,DB Ravi Teja,5
PP Ojha,Mandeep Singh,5
T Natarajan,BA Stokes,5
MP Stoinis,MK Tiwary,5
DT Christian,WP Saha,5
Z Khan,SP Narine,5
MR Marsh,CA Ingram,5
Iqbal Abdulla,Harbhajan Singh,5
JH Kallis,JEC Franklin,5
J Syed Mohammad,R Sathish,5
J Syed Mohammad,MS Dhoni,5
KA Pollard,R Ashwin,5
DE Bollinger,JEC Franklin,5
R Sharma,JEC Franklin,5
WD Parnell,SL Malinga,5
KC Cariappa,KS Williamson,5
A Nehra,I Sharma,5
PC Valthaty,BJ Hodge,5
AA Chavan,Bipul Sharma,5
DAJ Bracewell,R Vinay Kumar,5
DL Vettori,AJ Finch,5
JA Morkel,PA Patel,5
KK Cooper,B Lee,5
JP Faulkner,SC Ganguly,5
M Kartik,DJ Hussey,5
B Lee,AB de Villiers,5
S Nadeem,DJ Bravo,5
M Morkel,R Ashwin,5
RA Jadeja,DPMD Jayawardene,5
GB Hogg,RE Levi,5
A Singh,MS Bisla,5
A Singh,YK Pathan,5
IK Pathan,B Chipli,5
KMDN Kulasekara,RV Uthappa,5
SK Raina,MN Samuels,5
JD Unadkat,DJ Hussey,5
SK Trivedi,M Kaif,5
Pankaj Singh,M Muralitharan,5
GB Hogg,KC Sangakkara,5
Pankaj Singh,DT Christian,5
Z Khan,MN Samuels,5
B Lee,AD Mascarenhas,5
AD Mascarenhas,JH Kallis,5
Basil Thampi,PA Patel,5
VR Aaron,DJ Harris,5
