name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
R Shukla,1,0,0,0,0,0,0,0,0,0
RP Singh,11,5,3,6,3,3.00,12,50.00,0,0
A Singh,9,1,0,0,0,0.00,3,0.00,0,0
DR Smith,7,6,2,157,87,39.25,98,160.20,0,1
SPD Smith,15,14,5,362,47,40.22,267,135.58,0,0
DW Steyn,12,6,1,19,7,3.80,21,90.47,0,0
TP Sudhindra,3,1,1,0,0,0,0,0,0,0
TL Suman,2,2,0,15,10,7.50,19,78.94,0,0
J Syed Mohammad,2,1,1,4,4,0,1,400.00,0,0
SW Tait,6,0,0,0,0,0,0,0,0,0
LRPL Taylor,12,12,2,197,55,19.70,171,115.20,0,1
RN ten Doeschate,3,3,1,21,11,10.50,21,100.00,0,0
SR Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2
J Theron,2,1,1,7,7,0,6,116.66,0,0
AC Thomas,4,2,0,19,12,9.50,15,126.66,0,0
MK Tiwary,16,15,5,260,59,26.00,246,105.69,0,1
SS Tiwary,15,11,3,191,36,23.87,170,112.35,0,0
SK Trivedi,14,1,1,5,5,0,6,83.33,0,0
JD Unadkat,1,0,0,0,0,0,0,0,0,0
K Upadhyay,1,1,1,11,11,0,8,137.50,0,0
RV Uthappa,16,16,1,405,69,27.00,343,118.07,0,2
PC Valthaty,6,6,0,30,13,5.00,51,58.82,0,0
RE van der Merwe,3,0,0,0,0,0,0,0,0,0
Y Venugopal Rao,10,7,1,132,36,22.00,126,104.76,0,0
DL Vettori,9,6,2,31,20,7.75,26,119.23,0,0
M Vijay,14,14,1,336,113,25.84,267,125.84,1,0
R Vinay Kumar,15,7,2,68,25,13.60,62,109.67,0,0
DA Warner,8,8,1,256,109,36.57,156,164.10,1,1
SR Watson,7,7,1,255,90,42.50,168,151.78,0,2
CL White,13,13,2,479,78,43.54,320,149.68,0,5
LJ Wright,1,0,0,0,0,0,0,0,0,0
SA Yadav,1,1,0,0,0,0.00,4,0.00,0,0
UT Yadav,17,3,1,2,1,1.00,7,28.57,0,0
DH Yagnik,5,3,2,25,10,25.00,13,192.30,0,0
